texto,label,fonte,data_coleta
Taxa de desocupação chega a 75%,falso,Agência Brasil,2022-09-20
"Os principais beneficiários de repasses da Odebrecht e seus respectivos codinomes  Partes 4, 5 e 6. . *** CORRIGIDO *** BOTAFOGO Rodrigo Maia (DEM-RJ).",falso,Fake.br-Corpus,2026-05-24
masterchef brasil dá pontapé inicial em clima de copa e concorrente de curitiba,verdadeiro,Jornal Do Estado,2026-05-24
tinder das figurinhas saiba como funciona site criado por caxiense para facilitar troca de cromos da copa do mundo,verdadeiro,Zero Hora,2026-05-24
efêmeros mas eternos,verdadeiro,Folha de S.Paulo,2026-05-24
acordo com irã foi amplamente negociado e aguarda finalização,verdadeiro,Metrópoles,2026-05-24
"Cansado de ser assaltado, comerciante do Paraná se arma com espingarda calibre 12.",falso,Fake.br-Corpus,2026-05-24
"Tirando onda: ""Mesmo que eu perca na Câmara, não serei condenado pelo STF"".",falso,Fake.br-Corpus,2026-05-24
Startups brasileiras recebem US$ 500 milhões,verdadeiro,Agência Brasil,2023-04-13
o mito da neutralidade técnica,verdadeiro,Brasil 247,2026-05-24
Eles não desistem! Defesa de Lula protocola mais três habeas corpus agora à noite.,falso,Fake.br-Corpus,2026-05-24
fiuk surge em clima de romance com loira misteriosa e web especula ser ia foto reprodução,verdadeiro,Meio Norte,2026-05-24
Temer revela sua camuflada ideologia comunista.,falso,Fake.br-Corpus,2026-05-24
"Lula perde a noção do ridículo e ameaça: ""Daqui para a frente, vou processar todo mundo"". . ""O que fazem com meu filho é uma violência.",falso,Fake.br-Corpus,2026-05-24
Decreto ordena censura total,falso,TSE,2024-09-10
Governo injeta nanochips em população,falso,TSE,2021-07-25
AO VIVO: Sérgio Moro dando aula de direito para os senadores. .,falso,Fake.br-Corpus,2026-05-24
o idoso que descobriu estar morto ao usar cpf em farmácia,verdadeiro,G1,2026-05-24
Delação de Cerveró poderá ajudar na cassação da chapa de Dilma pelo TSE.,falso,Fake.br-Corpus,2026-05-24
gilmar diz que crise do banco master está na faria lima não no stf,verdadeiro,Brasil 247,2026-05-24
"Lacerda:""Arte não é crime. Aos estúpidos que não concordam comigo, vazem"".",falso,Fake.br-Corpus,2026-05-24
lula mencionou vontade grande de ajudar o rj diz governador,verdadeiro,Poder360,2026-05-24
Rede Social incomoda o Governo Federal.,falso,Fake.br-Corpus,2026-05-24
As 13 famílias que controlam a riqueza do planeta vão exterminar 20% da população até 2029. .,falso,Fake.br-Corpus,2026-05-24
pt escolhe deputado carlos veras para coordenar campanha de lula em pernambuco,verdadeiro,Diário de Pernambuco,2026-05-24
Senado aprova lei para tomar terras de fazendeiros,falso,Aos Fatos,2021-05-03
Arquivos do governo apontam que Dilma mentiu sobre encontro com Marcelo Odebrecht.,falso,Fake.br-Corpus,2026-05-24
"No gabinete, Dilma perde o controle emocional e xinga Delcídio: ""Mentiroso FDP! "".",falso,Fake.br-Corpus,2026-05-24
renovação moderação e honestidade o que o eleitor independente cobra de lula e flávio em,verdadeiro,Terra,2026-05-24
Câmara aprova lei de proteção ambiental,verdadeiro,Agência Brasil,2021-05-15
eua mentora de esquema de us mi é condenada a quase anos de prisão,verdadeiro,CNN Brasil,2026-05-24
Tribunal Eleitoral valida candidatura,verdadeiro,TSE,2022-07-08
Congresso aprova proibição de carros,falso,Agência Brasil,2024-09-29
"De acordo com o artigo 330 do cód. penal, Ministro Marco Aurélio pode mandar prender Renan por até 15 dias. .",falso,Fake.br-Corpus,2026-05-24
Movimentos pela volta da Monarquia crescem no Brasil.,falso,Fake.br-Corpus,2026-05-24
bombas em quem ama cuida casamento milionário falsa gravidez e guerra por herança viram a novela do avesso,verdadeiro,O Tempo,2026-05-24
Real deixa de existir,falso,Aos Fatos,2021-01-20
Decreto ordena implante de nanochip,falso,Lupa,2022-01-10
"Augusto Cury: ""Políticos acham que o povo deve se curvar perante eles.",falso,Fake.br-Corpus,2026-05-24
Indústria de tecnologia recebe investimento estrangeiro,verdadeiro,Agência Brasil,2024-01-13
der irá instalar radares inteligentes nas rodovias leia a tribuna de minas impressa deste domingo de maio,verdadeiro,Tribuna De Minas,2026-05-24
"""Se Trump nos atacar, vamos reduzir os EUA a cinzas"" diz Kim Jong-un. .",falso,Fake.br-Corpus,2026-05-24
Dólar recua frente ao real,verdadeiro,Agência Brasil,2022-12-19
piauí tem mais de mil famílias na fila de espera do bolsa família aponta estudo,verdadeiro,O DIA,2026-05-24
petróleo wti cai em mercado alternativo após trump aventar acordo com irã,verdadeiro,InfoMoney,2026-05-24
multa e risco de acidentes por que jamais levar pets soltos no carro,verdadeiro,Metrópoles,2026-05-24
câmara aprova pl que limita ação do ibama contra desmatamento,verdadeiro,O Tempo,2026-05-24
entre escândalos e baixo crescimento,verdadeiro,"O Estado de S. Paulo,",2026-05-24
a captura do congresso pelo embuste do bolsonarismo e pelo fisiologismo do centrão,verdadeiro,Brasil 247,2026-05-24
Governo fecha Congresso permanentemente,falso,Aos Fatos,2022-06-18
primeira trans a mudar nome em portugal reage à polêmica dos banheiros femininos no brasil,verdadeiro,O DIA,2026-05-24
ebola nova vacina pode ficar pronta para testes em alguns meses,verdadeiro,Olhar Digital,2026-05-24
saque fgts nascidos em março têm até de maio para resgatar o valor,verdadeiro,Estado de Minas,2026-05-24
"Banco Central mantém taxa de juros em 10,5% ao ano",verdadeiro,Agência Brasil,2020-12-26
Encontraram uma planilha da Odebrecht com pagamentos diretos para Lula.,falso,Fake.br-Corpus,2026-05-24
eua e irã negociam cessarfogo de dias para reabrir hormuz diz agência,verdadeiro,UOL Notícias,2026-05-24
Tirando onda! Caio Castro e Marco Luque simulam clima de romance em aeroporto do RJ.,falso,Fake.br-Corpus,2026-05-24
"Sociólogo americano diz que ""ALVO"" de Trump não é a Coreia e sim a China. .",falso,Fake.br-Corpus,2026-05-24
Economia sofre hiperinflação,falso,Agência Brasil,2024-07-15
Vídeo mostra ministro sendo hostilizado na saída do TSE.,falso,Fake.br-Corpus,2026-05-24
Setor de mineração retoma,verdadeiro,Lupa,2026-04-18
Lei aprova venda de território,falso,Aos Fatos,2024-09-02
Setor de turismo recupera níveis pré-pandemia,verdadeiro,Aos Fatos,2024-03-01
quem vai viajar para copa deve estar alerta para vacina do sarampo,verdadeiro,ac24horas,2026-05-24
Congresso aprova lei de infraestrutura,verdadeiro,Aos Fatos,2024-05-04
Banco Central intervém no mercado de câmbio,verdadeiro,Aos Fatos,2025-08-22
Começou a baderna! Apoiadores de Lula são pegos com facões e foices em Curitiba.,falso,Fake.br-Corpus,2026-05-24
Mercado imobiliário tem recuperação em grandes cidades,verdadeiro,Fato ou Fake,2024-10-05
Quanto custa um pedido de impeachment? Autora do parecer declara que recebeu R$ 45 mil do PSDB.,falso,Fake.br-Corpus,2026-05-24
"Militantes do PT se revoltam em Porto Alegre: ""Não pagaram a gente e roubaram até o recheio do pão"".",falso,Fake.br-Corpus,2026-05-24
Decreto estabelece moeda única,falso,TSE,2024-04-15
Temer diz que tomará medidas impopulares.,falso,Fake.br-Corpus,2026-05-24
Governo vai confiscar todas as poupanças acima de R$ 10 mil,falso,Aos Fatos,2022-02-27
"Dilma e a árvore  parte 2. Dilma continua o discurso da árvore:. ""Você corta a árvore da democracia com um machado [...] a árvore tem fungos!"" A partir do momento que tudo é possível [...] tudo passa a ser possível!"" disse Dilma.",falso,Fake.br-Corpus,2026-05-24
"Deputado do PT não sabia que estava sendo filmado e confessou: ""Dilma usou os Correios na campanha de 2014"". .",falso,Fake.br-Corpus,2026-05-24
"Baixou a Dilma no homem: ""Temos que apoiar a Reforma da Previdência.",falso,Fake.br-Corpus,2026-05-24
lula não tem moral para dar lição sobre combate ao crime diz ruas,verdadeiro,Metrópoles,2026-05-24
perto da eleição lula tenta se apresentar como inimigo do crime,verdadeiro,Gazeta do Povo,2026-05-24
Presidente visita estados afetados por calamidade,verdadeiro,TSE,2020-03-23
"""Lucro do Facebook é baseado em falsos engajamentos"" diz especialista.",falso,Fake.br-Corpus,2026-05-24
na reta final ainda não enviaram declaração do imposto de renda,verdadeiro,Folha De Pernambuco,2026-05-24
inventário extrajudicial cresce em possibilidades entenda procedimento e veja novidades,verdadeiro,EXTRA,2026-05-24
Economia brasileira retoma ritmo de expansão,verdadeiro,TSE,2025-05-26
Armada liderada pelo porta-aviões USS Carl Vinson entra em águas norte-coreanas. .,falso,Fake.br-Corpus,2026-05-24
"Quando o escândalo do BNDES vier à tona, a Lava-Jato vai parecer coisa de trombadinha.",falso,Fake.br-Corpus,2026-05-24
Banco Central mantém Selic estável,verdadeiro,Fato ou Fake,2024-02-10
Câmara dos Deputados aprova orçamento de 2027,verdadeiro,TSE,2026-02-08
Presidente se torna ditador,falso,TSE,2025-02-25
"O mercado financeiro elevou a previsão para o IPCA de 5,09% para 5,11% em 2026, marcando a 13ª semana consecutiva de alta. A pressão decorre da guerra no Oriente Médio, que impacta os preços dos combustíveis. O Banco Central mantém a Selic em 14,5% ao ano, mas o mercado já projeta cortes menores devido à persistência inflacionária.",verdadeiro,Agência Brasil,2026-06-12
"INDEPENDENT: Rússia ordena que Força Aérea se prepare para ""tempos de guerra"".",falso,Fake.br-Corpus,2026-05-24
Mercado de ações vai colapsar em 2026,falso,Aos Fatos,2024-01-14
eleição de grêmios escolares mobiliza estudantes da rede pública municipal,verdadeiro,Tribuna Independente,2026-05-24
paz começa a amarelar de forma silenciosa quando o excesso de água se acumula nas raízes e os sinais costumam aparecer tarde demais,verdadeiro,Jornal Folha Vitória,2026-05-24
"Rússia projeta avião indestrutível para o ""JUÍZO FINAL"".",falso,Fake.br-Corpus,2026-05-24
Partido Militar poderá lançar Coronel Telhada à Prefeitura de São Paulo.,falso,Fake.br-Corpus,2026-05-24
Supremo Tribunal Federal valida lei aprovada pelo Congresso,verdadeiro,Agência Brasil,2020-12-07
como restrições no fgts afetam o crédito e o endividamento,verdadeiro,Gazeta do Povo,2026-05-24
IPCA fica dentro da meta,verdadeiro,Agência Brasil,2023-07-22
Banco Central projeta queda de juros,verdadeiro,TSE,2020-12-23
Combater o Aedes aegypti ? Claro que não.,falso,Fake.br-Corpus,2026-05-24
"No dia da corrida fatal, médico da F1 disse: ""Desista Senna, eu me aposento com você"".",falso,Fake.br-Corpus,2026-05-24
dólar avança no dia mas acumula queda na semana,verdadeiro,Brasil 247,2026-05-24
"As ameaças do Presidente da CUT : ""Quem manda somos nós...vamos nos livrar do Sérgio Moro"".",falso,Fake.br-Corpus,2026-05-24
Hiperinflação destroi economia,falso,Agência Brasil,2023-11-10
Governo proíbe bolsa de valores,falso,Agência Brasil,2024-06-05
Inflação atinge 150%,falso,Agência Brasil,2020-10-07
Juiz Sérgio Moro divulga nota contra a ANISTIA DO CAIXA 2.,falso,Fake.br-Corpus,2026-05-24
Dória foi a primeira autoridade do Brasil a ser recebida por um príncipe de Abu Dhabi.,falso,Fake.br-Corpus,2026-05-24
especialista agência com diretoria indicada por lula regulará digital,verdadeiro,CNN Brasil,2026-05-24
podolski se despede dos gramados antes de assumir comando de clube polonês,verdadeiro,CNN Brasil,2026-05-24
filho do gaúcho da copa irá ao mundial para manter legado do pai,verdadeiro,G1,2026-05-24
"Mais um grampo! Senador do PT é flagrado chamando Sérgio Moro e delegados da PF de ""bandidos"".",falso,Fake.br-Corpus,2026-05-24
Preços aumentam 300%,falso,Agência Brasil,2022-10-31
Consumo tem aceleração,verdadeiro,TSE,2021-04-05
Presidente ordena fechamento de jornais,falso,Agência Brasil,2025-11-11
O Michel não está conseguindo estancar a sangria da Lava-Jato! Renan está desesperado. .,falso,Fake.br-Corpus,2026-05-24
prefeitura inicia obras de ecoponto com arte urbana na vila cruzeiro no complexo da penha,verdadeiro,O DIA,2026-05-24
Emprego no setor privado cresce,verdadeiro,Agência Brasil,2020-08-10
"Ciro Gomes: "" Lula mistura política com dinheiro.",falso,Fake.br-Corpus,2026-05-24
Bancos fecham suas portas,falso,TSE,2022-03-17
PIB trimestral fecha em alta,verdadeiro,Agência Brasil,2022-02-17
Ibovespa fecha acima de 135 mil pontos,verdadeiro,Fato ou Fake,2023-09-08
beto louco fecha delação sobre fraude fiscal na bahia,verdadeiro,Poder360,2026-05-24
Lula quer abolir eleições e virar ditador,falso,Agência Brasil,2025-02-23
Banco Central confisca dinheiro,falso,Lupa,2020-01-06
Índice de preços tem queda,verdadeiro,TSE,2025-12-03
"A deselegância de Zezé: ""Passar a mulher da gente pra trás é fácil, difícil é passar para frente"". .",falso,Fake.br-Corpus,2026-05-24
Decreto confisca terras,falso,Fato ou Fake,2021-08-24
anos das urnas e o voto em disputa,verdadeiro,Poder360,2026-05-24
João Doria bate boca com FHC. Tucanos em guerra.,falso,Fake.br-Corpus,2026-05-24
políca recupera duas urnas com cinzas de cahorros que foram levadas por bandidos armados de fuzis e pistolas,verdadeiro,EXTRA,2026-05-24
"Barroso: ""Criamos uma sociedade cheia de ricos delinquentes.",falso,Fake.br-Corpus,2026-05-24
beleza com segurança,verdadeiro,Cruzeiro Do Sul,2026-05-24
Delator conta que sofreu pressão para ajudar o filho do ex-presidente.,falso,Fake.br-Corpus,2026-05-24
Decreto ordena censura de mídia,falso,Agência Brasil,2025-08-16
pf indicia suplente de alcolumbre em investigação que apura fraude no dnit,verdadeiro,Brasil 247,2026-05-24
"O dia em que o ""muso"" do FORA TEMER expulsou uma repórter que o questionou sobre a Lei Rouanet.",falso,Fake.br-Corpus,2026-05-24
desenrola saiba como usar o fgts para limpar o nome e conseguir descontos de até,verdadeiro,Correio,2026-05-24
Ataque aéreo! Ministro da defesa pode ter contraído o Zika Virus.,falso,Fake.br-Corpus,2026-05-24
O governo federal vai confiscar a poupança de quem tiver mais de R$ 50 mil investidos a partir de julho de 2026.,falso,Redes Sociais,2026-06-12
Aécio Neves mostra sua verdadeira face.,falso,Fake.br-Corpus,2026-05-24
Banco Central vai eliminar o real e adotar moeda única mundial,falso,Agência Brasil,2021-07-04
"O Antagonista: ""Apartamento funcional não pode ser esconderijo de pilantra sem foro"".",falso,Fake.br-Corpus,2026-05-24
A PF trabalha arduamente e investiga.,falso,Fake.br-Corpus,2026-05-24
alerta sobre links falsos do concurso da prefeitura de campina grande,verdadeiro,Paraíba Online,2026-05-24
fux antecipa voto e stf tem placar de a para manter prisões de pai e primo de vorcaro,verdadeiro,Tribuna Do Norte,2026-05-24
a fruta amazônica que tem cor de sol e sabor de creme de leite com manga,verdadeiro,Catraca Livre - Notícias,2026-05-24
colonoscopia é só sucesso,verdadeiro,ac24horas,2026-05-24
Parlamento aprova lei de educação,verdadeiro,Lupa,2021-04-25
as contradições do psd nas eleições pelo brasil,verdadeiro,Gazeta do Povo,2026-05-24
relação política perdeu civilidade diz lula sobre fake news,verdadeiro,Correio Braziliense,2026-05-24
"Áudio de ministro sugere que Dilma foi vítima de um golpe para ""frear"" a Lava-Jato. .",falso,Fake.br-Corpus,2026-05-24
Cadê o Lula? PF chega para reforçar segurança no senado e ex-presidente dá um pinote!.,falso,Fake.br-Corpus,2026-05-24
Congresso aprova lei para confiscar casas de cidadãos,falso,Aos Fatos,2023-03-26
Decreto toma propriedades de cidadãos,falso,Lupa,2026-01-17
Governo anuncia programa de habitação,verdadeiro,Agência Brasil,2024-04-29
afetado por turismo povo tradicional de noronha pede reconhecimento,verdadeiro,UOL Notícias,2026-05-24
Taxa de desemprego atinge 90%,falso,Agência Brasil,2023-03-12
Desemprego entre jovens recua significativamente,verdadeiro,Aos Fatos,2023-01-16
"Após ataque à Síria, governo russo promete ""consequências negativas"" aos EUA.",falso,Fake.br-Corpus,2026-05-24
Lei obriga implante de microchip,falso,Fato ou Fake,2023-12-21
Setor privado gera mais empregos que esperado,verdadeiro,Lupa,2023-07-06
"Ex-ministro da Justiça foi tirar satisfação com Janot e quebrou a cara: ""O Lula é bandido, como todos os outros."".",falso,Fake.br-Corpus,2026-05-24
homem vai à farmácia descobre que está morto e leva quase anos para ressuscitar entenda,verdadeiro,Diário do Centro do Mundo,2026-05-24
para os três fontes de proteína de alta qualidade fáceis de incluir na dieta,verdadeiro,O GLOBO,2026-05-24
Presidente inaugura obra de infraestrutura,verdadeiro,Aos Fatos,2021-01-12
"Josias de Souza: ""Lula trafega em um terreno movediço fingindo que nada foi descoberto contra ele"".",falso,Fake.br-Corpus,2026-05-24
Desemprego atinge menor patamar,verdadeiro,Agência Brasil,2024-07-27
lamachia não podemos resgatar a credibilidade do stf sem que o inquérito seja encerrado,verdadeiro,Correio Do Povo,2026-05-24
Mercado de trabalho tem recuperação,verdadeiro,Fato ou Fake,2024-08-22
tiros na casa branca levam serviço secreto a isolar área em washington,verdadeiro,Diaro Da Manha,2026-05-24
"Quebra-cabeça da corrupção está quase pronto! Prisão da ""alma mais honesta do país"" pode ser imediata.",falso,Fake.br-Corpus,2026-05-24
Decreto autoriza entrega de terras,falso,TSE,2026-04-09
Governo ordena proibição de propriedade,falso,Lupa,2021-12-09
eleições em mg o que dizem pesquisas para governo e senado,verdadeiro,Metrópoles,2026-05-24
Governo lança programa de emprego,verdadeiro,Agência Brasil,2024-01-31
Eduardo Bolsonaro pode ir para cadeia.,falso,Fake.br-Corpus,2026-05-24
bolsonaro preso,falso,Google API,2026-06-18,98.0
